trade_no,entry_time,exit_time,direction,entry_price,exit_price,quantity,pnl,exit_reason,indicators_agreed,consensus_signal,ADX_DI_signal,ADX_DI_buy_votes,ADX_DI_sell_votes,ADX_DI_total,Bollinger_Bands_signal,BB_buy_votes,BB_sell_votes,BB_total,Breadth_signal,Breadth_buy_votes,Breadth_sell_votes,Breadth_total,EMA_Cross_signal,EMA_buy_votes,EMA_sell_votes,EMA_total,RSI_signal,RSI_buy_votes,RSI_sell_votes,RSI_total,Supertrend_signal,ST_buy_votes,ST_sell_votes,ST_total,equity_after
1,2022-02-02 00:00:00+05:30,2022-02-24 00:00:00+05:30,SHORT,59558.33,55989.13,4,14276.81,take_profit,5,SELL,SELL,2,9,12,HOLD,3,3,12,SELL,2,4,8,SELL,1,4,5,SELL,2,5,8,SELL,0,15,17,1014276.81
2,2022-02-24 00:00:00+05:30,2022-03-17 00:00:00+05:30,SHORT,54529.91,57049.48,4,-10078.26,stop_loss,3,HOLD,SELL,2,9,12,HOLD,2,5,12,HOLD,3,3,8,SELL,1,4,5,BUY,5,2,8,SELL,6,9,17,1004198.54
3,2022-04-20 00:00:00+05:30,2022-05-09 00:00:00+05:30,SHORT,57037.50,54507.61,5,12649.46,take_profit,4,SELL,SELL,2,9,12,HOLD,3,4,12,SELL,1,5,8,SELL,0,5,5,BUY,4,3,8,SELL,0,15,17,1016848.00
4,2022-05-09 00:00:00+05:30,2022-06-16 00:00:00+05:30,SHORT,54470.67,51519.65,5,14755.08,take_profit,5,SELL,SELL,1,10,12,SELL,1,6,12,SELL,2,4,8,SELL,0,5,5,BUY,4,3,8,SELL,0,15,17,1031603.08
5,2022-06-16 00:00:00+05:30,2022-07-06 00:00:00+05:30,SHORT,51495.79,53347.93,5,-9260.72,stop_loss,5,SELL,SELL,1,10,12,SELL,1,6,12,SELL,2,4,8,SELL,1,4,5,BUY,4,3,8,SELL,1,14,17,1022342.36
6,2022-07-06 00:00:00+05:30,2022-07-20 00:00:00+05:30,SHORT,53750.97,55160.67,7,-9867.89,stop_loss,3,HOLD,SELL,4,7,12,HOLD,3,4,12,SELL,2,4,8,BUY,3,2,5,BUY,5,2,8,SELL,7,8,17,1012474.47
7,2022-08-08 00:00:00+05:30,2022-09-26 00:00:00+05:30,LONG,58853.07,57406.17,6,-8681.39,stop_loss,1,HOLD,SELL,4,7,12,HOLD,3,4,12,HOLD,3,3,8,BUY,3,2,5,SELL,2,5,8,SELL,2,14,17,1003793.09
8,2022-09-26 00:00:00+05:30,2022-10-18 00:00:00+05:30,SHORT,57145.22,58932.04,5,-8934.12,stop_loss,5,SELL,SELL,4,7,12,SELL,2,6,12,SELL,2,5,8,SELL,2,3,5,BUY,4,3,8,SELL,2,14,17,994858.97
9,2022-10-18 00:00:00+05:30,2022-10-20 00:00:00+05:30,SHORT,58960.60,59202.90,6,-1453.80,signal_reversal,2,BUY,BUY,7,4,12,SELL,3,5,12,SELL,3,4,8,BUY,5,0,5,BUY,4,3,8,BUY,9,7,17,993405.17
10,2022-10-20 00:00:00+05:30,2022-11-11 00:00:00+05:30,LONG,59202.90,61319.74,7,14817.87,take_profit,3,HOLD,BUY,7,4,12,SELL,3,6,12,SELL,2,5,8,BUY,5,0,5,SELL,3,4,8,BUY,9,7,17,1008223.04
